Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.13559384981397
Albania,ALB,Population growth (annual %),SP.POP.GROW,-1.14841763771287
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.49897601193923
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,-1.71290294190977
Andorra,AND,Population growth (annual %),SP.POP.GROW,1.43374756867515
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.08065530722915
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,0.511400156215609
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.286976121920089
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.728178919340382
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.0456516784920034
Australia,AUS,Population growth (annual %),SP.POP.GROW,2.4474661688131
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.989464653969154
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.120242150339289
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,0.477303918283875
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,3.37686417721007
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.22171475464107
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.00637558575909917
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.540824986374776
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.913715890414841
Belize,BLZ,Population growth (annual %),SP.POP.GROW,2.05772774277288
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.52274772277722
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,-0.0787967316952785
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,0.698146584889649
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.37334382280772
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-0.617510129445164
Botswana,BWA,Population growth (annual %),SP.POP.GROW,1.64031664035479
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.395928695574996
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,1.72311000328138
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,0.782881746925984
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-3.00602010787702
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.26973666268599
Burundi,BDI,Population growth (annual %),SP.POP.GROW,2.72764441044431
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,0.497087597239901
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.28320677599476
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.64245336134821
Canada,CAN,Population growth (annual %),SP.POP.GROW,2.93227401162387
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,2.00104859136332
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,1.06107453184959
Chad,TCD,Population growth (annual %),SP.POP.GROW,4.57399213394625
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,0.284259058075622
Chile,CHL,Population growth (annual %),SP.POP.GROW,0.53962870957127
China,CHN,Population growth (annual %),SP.POP.GROW,-0.103794531589067
Colombia,COL,Population growth (annual %),SP.POP.GROW,1.12092864340999
Comoros,COM,Population growth (annual %),SP.POP.GROW,1.92327433672711
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.25963514299902
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,2.41919038084212
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,0.46646444898736
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,2.50384681190665
Croatia,HRV,Population growth (annual %),SP.POP.GROW,0.104856226330186
Cuba,CUB,Population growth (annual %),SP.POP.GROW,-0.361317873522215
Curacao,CUW,Population growth (annual %),SP.POP.GROW,-1.43292207278827
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,1.0167681770201
Czechia,CZE,Population growth (annual %),SP.POP.GROW,1.78238907045946
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.741185515720057
Djibouti,DJI,Population growth (annual %),SP.POP.GROW,1.38410272350128
Dominica,DMA,Population growth (annual %),SP.POP.GROW,-0.473991407609536
Dominican Republic,DOM,Population growth (annual %),SP.POP.GROW,0.891159203732232
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,0.872456027022398
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,1.68834126904494
El Salvador,SLV,Population growth (annual %),SP.POP.GROW,0.465531145369394
Equatorial Guinea,GNQ,Population growth (annual %),SP.POP.GROW,2.41057232825781
Eritrea,ERI,Population growth (annual %),SP.POP.GROW,1.77168715176453
Estonia,EST,Population growth (annual %),SP.POP.GROW,1.57745133607335
Eswatini,SWZ,Population growth (annual %),SP.POP.GROW,0.946270731993531
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,2.6036241976442
Faroe Islands,FRO,Population growth (annual %),SP.POP.GROW,0.977560950757493
Fiji,FJI,Population growth (annual %),SP.POP.GROW,0.51237740019889
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.499192375381062
France,FRA,Population growth (annual %),SP.POP.GROW,0.326319200823468
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,0.263581727538977
Gabon,GAB,Population growth (annual %),SP.POP.GROW,2.19891289669511
"Gambia, The",GMB,Population growth (annual %),SP.POP.GROW,2.30124049704572
Georgia,GEO,Population growth (annual %),SP.POP.GROW,0.0802640328443946
Germany,DEU,Population growth (annual %),SP.POP.GROW,-0.620053754616789
Ghana,GHA,Population growth (annual %),SP.POP.GROW,1.90860289687983
Gibraltar,GIB,Population growth (annual %),SP.POP.GROW,2.26613272520816
Greece,GRC,Population growth (annual %),SP.POP.GROW,-0.300290930163656
Greenland,GRL,Population growth (annual %),SP.POP.GROW,0.359389425458904
Grenada,GRD,Population growth (annual %),SP.POP.GROW,0.143593450145476
Guam,GUM,Population growth (annual %),SP.POP.GROW,0.799555642468131
Guatemala,GTM,Population growth (annual %),SP.POP.GROW,1.53986971917384
Guinea,GIN,Population growth (annual %),SP.POP.GROW,2.46199049961035
Guinea-Bissau,GNB,Population growth (annual %),SP.POP.GROW,2.24529187264064
Guyana,GUY,Population growth (annual %),SP.POP.GROW,0.57233513230005
Haiti,HTI,Population growth (annual %),SP.POP.GROW,1.15633263604117
Honduras,HND,Population growth (annual %),SP.POP.GROW,1.71477388415816
"Hong Kong SAR, China",HKG,Population growth (annual %),SP.POP.GROW,2.55352466697343
Hungary,HUN,Population growth (annual %),SP.POP.GROW,-0.542624252156938
Iceland,ISL,Population growth (annual %),SP.POP.GROW,2.92687965279829
India,IND,Population growth (annual %),SP.POP.GROW,0.883289539766135
Indonesia,IDN,Population growth (annual %),SP.POP.GROW,0.842666137328498
"Iran, Islamic Rep.",IRN,Population growth (annual %),SP.POP.GROW,1.20408185634218
Iraq,IRQ,Population growth (annual %),SP.POP.GROW,2.25148890849618
Ireland,IRL,Population growth (annual %),SP.POP.GROW,2.70991347020317
Isle of Man,IMN,Population growth (annual %),SP.POP.GROW,0.0392163858214135
Israel,ISR,Population growth (annual %),SP.POP.GROW,2.06177924891639
Italy,ITA,Population growth (annual %),SP.POP.GROW,-0.0342216578672275
Jamaica,JAM,Population growth (annual %),SP.POP.GROW,0.0226098931571573
Japan,JPN,Population growth (annual %),SP.POP.GROW,-0.487370782049143
Jordan,JOR,Population growth (annual %),SP.POP.GROW,1.61225050235636
Kazakhstan,KAZ,Population growth (annual %),SP.POP.GROW,1.46415151694869
Kenya,KEN,Population growth (annual %),SP.POP.GROW,1.98296028478422
Kiribati,KIR,Population growth (annual %),SP.POP.GROW,1.56733842415292
"Korea, Dem. People's Rep.",PRK,Population growth (annual %),SP.POP.GROW,0.338821174570736
"Korea, Rep.",KOR,Population growth (annual %),SP.POP.GROW,0.077477253324535
Kosovo,XKX,Population growth (annual %),SP.POP.GROW,-0.665635964307823
Kuwait,KWT,Population growth (annual %),SP.POP.GROW,5.58813678140227
Kyrgyz Republic,KGZ,Population growth (annual %),SP.POP.GROW,1.76957754134087
Lao PDR,LAO,Population growth (annual %),SP.POP.GROW,1.39237667233214
Latvia,LVA,Population growth (annual %),SP.POP.GROW,-0.103172153311714
Lebanon,LBN,Population growth (annual %),SP.POP.GROW,0.503630953855672
Lesotho,LSO,Population growth (annual %),SP.POP.GROW,1.10328678263994
Liberia,LBR,Population growth (annual %),SP.POP.GROW,2.20390696065654
Libya,LBY,Population growth (annual %),SP.POP.GROW,1.12674309223491
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.899896422348841
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,1.40084461829591
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,2.02002574712319
"Macao SAR, China",MAC,Population growth (annual %),SP.POP.GROW,0.221222713921319
Madagascar,MDG,Population growth (annual %),SP.POP.GROW,2.46201530433165
Malawi,MWI,Population growth (annual %),SP.POP.GROW,2.57135708610945
Malaysia,MYS,Population growth (annual %),SP.POP.GROW,1.23402869169549
Maldives,MDV,Population growth (annual %),SP.POP.GROW,0.359585188904548
Mali,MLI,Population growth (annual %),SP.POP.GROW,2.97400537620334
Malta,MLT,Population growth (annual %),SP.POP.GROW,3.91764986035828
Marshall Islands,MHL,Population growth (annual %),SP.POP.GROW,-3.16867227675357
Mauritania,MRT,Population growth (annual %),SP.POP.GROW,2.96653079197429
Mauritius,MUS,Population growth (annual %),SP.POP.GROW,-0.117452949112512
Mexico,MEX,Population growth (annual %),SP.POP.GROW,0.872178517508623
"Micronesia, Fed. Sts.",FSM,Population growth (annual %),SP.POP.GROW,0.459189928699194
Moldova,MDA,Population growth (annual %),SP.POP.GROW,-2.84274212689094
Monaco,MCO,Population growth (annual %),SP.POP.GROW,0.064195567574974
Mongolia,MNG,Population growth (annual %),SP.POP.GROW,1.3708886685104
Montenegro,MNE,Population growth (annual %),SP.POP.GROW,-0.167992320943883
Morocco,MAR,Population growth (annual %),SP.POP.GROW,1.02195181223548
Mozambique,MOZ,Population growth (annual %),SP.POP.GROW,2.95358093047219
Myanmar,MMR,Population growth (annual %),SP.POP.GROW,0.698879396261223
Namibia,NAM,Population growth (annual %),SP.POP.GROW,2.50947899094054
Nauru,NRU,Population growth (annual %),SP.POP.GROW,0.625107627709329
Nepal,NPL,Population growth (annual %),SP.POP.GROW,-0.0700958873206174
Netherlands,NLD,Population growth (annual %),SP.POP.GROW,0.990139686700227
New Caledonia,NCL,Population growth (annual %),SP.POP.GROW,0.952185123510063
New Zealand,NZL,Population growth (annual %),SP.POP.GROW,2.04836808947608
Nicaragua,NIC,Population growth (annual %),SP.POP.GROW,1.37167812196347
Niger,NER,Population growth (annual %),SP.POP.GROW,3.29489175812772
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2.09838916935738
North Macedonia,MKD,Population growth (annual %),SP.POP.GROW,-0.212923714310977
Northern Mariana Islands,MNP,Population growth (annual %),SP.POP.GROW,-2.05003835843766
Norway,NOR,Population growth (annual %),SP.POP.GROW,1.13818460655469
Oman,OMN,Population growth (annual %),SP.POP.GROW,6.52704988451128
Pakistan,PAK,Population growth (annual %),SP.POP.GROW,1.54880458608849
Palau,PLW,Population growth (annual %),SP.POP.GROW,-0.180352864081089
Panama,PAN,Population growth (annual %),SP.POP.GROW,1.30902688797168
Papua New Guinea,PNG,Population growth (annual %),SP.POP.GROW,1.81103162496893
Paraguay,PRY,Population growth (annual %),SP.POP.GROW,1.23021616038983
Peru,PER,Population growth (annual %),SP.POP.GROW,1.09975320783678
Philippines,PHL,Population growth (annual %),SP.POP.GROW,0.810000998681961
Poland,POL,Population growth (annual %),SP.POP.GROW,-0.365658526875775
Portugal,PRT,Population growth (annual %),SP.POP.GROW,1.36912985956796
Puerto Rico,PRI,Population growth (annual %),SP.POP.GROW,-0.448878435008411
Qatar,QAT,Population growth (annual %),SP.POP.GROW,-0.0489708509014485
Romania,ROU,Population growth (annual %),SP.POP.GROW,0.057609980983218
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,-0.285217600763343
Rwanda,RWA,Population growth (annual %),SP.POP.GROW,2.1984982050137
Samoa,WSM,Population growth (annual %),SP.POP.GROW,0.649190563116911
San Marino,SMR,Population growth (annual %),SP.POP.GROW,0.310582221115543
Sao Tome and Principe,STP,Population growth (annual %),SP.POP.GROW,1.99754660166419
Saudi Arabia,SAU,Population growth (annual %),SP.POP.GROW,3.32877939509885
Senegal,SEN,Population growth (annual %),SP.POP.GROW,2.38738348832592
Serbia,SRB,Population growth (annual %),SP.POP.GROW,-0.621120944154492
Seychelles,SYC,Population growth (annual %),SP.POP.GROW,-0.0876274304874622
Sierra Leone,SLE,Population growth (annual %),SP.POP.GROW,2.19524258771884
Singapore,SGP,Population growth (annual %),SP.POP.GROW,4.85831607781442
Sint Maarten (Dutch part),SXM,Population growth (annual %),SP.POP.GROW,1.43721256242405
Slovak Republic,SVK,Population growth (annual %),SP.POP.GROW,-0.0923148510113108
Slovenia,SVN,Population growth (annual %),SP.POP.GROW,0.396216782960902
Solomon Islands,SLB,Population growth (annual %),SP.POP.GROW,2.39583243369756
Somalia,SOM,Population growth (annual %),SP.POP.GROW,3.07939219638342
South Africa,ZAF,Population growth (annual %),SP.POP.GROW,1.32810094082844
South Sudan,SSD,Population growth (annual %),SP.POP.GROW,4.10816463205266
Spain,ESP,Population growth (annual %),SP.POP.GROW,1.22528044685694
Sri Lanka,LKA,Population growth (annual %),SP.POP.GROW,-0.651320770103285
St. Kitts and Nevis,KNA,Population growth (annual %),SP.POP.GROW,0.104849849656036
St. Lucia,LCA,Population growth (annual %),SP.POP.GROW,0.281512532799571
