date,views,articles
07-10-2019,622,5
08-10-2019,652,3
09-10-2019,808,2
10-10-2019,797,18
11-10-2019,858,4
12-10-2019,451,3
13-10-2019,306,7
14-10-2019,779,5
15-10-2019,579,3
16-10-2019,552,21
17-10-2019,989,1
18-10-2019,400,4
19-10-2019,672,3
20-10-2019,388,16
21-10-2019,354,7
22-10-2019,854,20
23-10-2019,1148,1
24-10-2019,580,5
25-10-2019,921,2
26-10-2019,925,5
27-10-2019,1382,2
28-10-2019,1239,2
29-10-2019,825,19
30-10-2019,902,1
31-10-2019,1175,28
01-11-2019,810,0
02-11-2019,713,5
03-11-2019,1294,1
04-11-2019,584,18
