date,views,articles
07-10-2019,622,9
08-10-2019,652,12
09-10-2019,808,21
10-10-2019,797,10
11-10-2019,858,13
12-10-2019,451,3
13-10-2019,306,18
14-10-2019,779,15
15-10-2019,579,8
16-10-2019,552,21
17-10-2019,989,13
18-10-2019,400,14
19-10-2019,672,17
20-10-2019,388,16
21-10-2019,154,7
22-10-2019,854,20
23-10-2019,1148,19
24-10-2019,580,5
25-10-2019,921,2
26-10-2019,1225,12
27-10-2019,382,2
28-10-2019,539,2
29-10-2019,325,19
30-10-2019,402,10
31-10-2019,775,3
01-11-2019,810,19
02-11-2019,313,15
03-11-2019,1294,11
04-11-2019,284,11
05-11-2019,361,5
06-11-2019,456,16
07-11-2019,6236,8
08-11-2019,423,5
09-11-2019,549,15
10-11-2019,1289,9
11-11-2019,203,7
12-11-2019,713,17
13-11-2019,1115,9
14-11-2019,568,14
15-11-2019,666,3
16-11-2019,538,13
17-11-2019,548,19
18-11-2019,747,18
19-11-2019,399,14
20-11-2019,893,13
21-11-2019,431,16
22-11-2019,828,15
23-11-2019,324,12
24-11-2019,1153,21
